"Order Number","Order Number"
Customer,Customer
"Start Date w/Turnover","Start Date w/Turnover"
"Start Date","Start Date"
"End Date","End Date"
"End Date w/Turnover","End Date w/Turnover"
Quantity,Quantity
Product,Product
Price,Price
Back,Back
"Delete Reservation","Delete Reservation"
"Are you sure you want to do this?","Are you sure you want to do this?"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
"Save Reservation","Save Reservation"
"Start Date: ","Start Date: "
"End Date: ","End Date: "
"Disabled From","Disabled From"
"Disabled To","Disabled To"
"All Day","All Day"
Repeat,Repeat
"Exclude From","Exclude From"
Add,Add
None,None
Daily,Daily
Weekly,Weekly
Monthly,Monthly
Yearly,Yearly
Calendar,Calendar
Turnover,Turnover
From,From
To,To
"Product does not exists","Product does not exists"
"Dates were set","Dates were set"
"Dates were not set","Dates were not set"
Rental,Rental
Reports,Reports
"Rental > Calendar","Rental > Calendar"
"All products must be simple product type","All products must be simple product type"
"Products have been converted from simple to reservation","Products have been converted from simple to reservation"
"All products must be reservation product type","All products must be reservation product type"
"Products have been converted from reservation to simple","Products have been converted from reservation to simple"
"The reservation has been deleted.","The reservation has been deleted."
"We can't find a reservation to delete.","We can't find a reservation to delete."
"Rental Reservations","Rental Reservations"
"Edit Reservation","Edit Reservation"
"New Reservation","New Reservation"
Reservation,Reservation
Edited,Edited
"Manual Edit Reservation","Manual Edit Reservation"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the page.","Something went wrong while saving the page."
"Page Title","Page Title"
"Store View","Store View"
Status,Status
"To apply changes you should fill in hidden required ""%1"" field","To apply changes you should fill in hidden required ""%1"" field"
"You saved the page.","You saved the page."
Inventory,Inventory
"Rental > Reports > Inventory","Rental > Reports > Inventory"
"Start Date W/Turnover","Start Date W/Turnover"
"End Date W/Turnover","End Date W/Turnover"
"Serial Number","Serial Number"
"Rental > Reports > Serial Number","Rental > Reports > Serial Number"
"Return Rentals","Return Rentals"
"Some serials appeared to not match reservation. Please check again","Some serials appeared to not match reservation. Please check again"
"A total of %1 item(s) have been returned.","A total of %1 item(s) have been returned."
"Send Rentals","Send Rentals"
