"Order Number","Numero ng order"
"Customer","parokyano"
"Start Date w/Turnover","Petsa ng Pagsisimula w / paglilipat ng tungkulin"
"Start Date","Petsa ng Pagsisimula"
"End Date","Petsa ng Pagtatapos"
"End Date w/Turnover","Petsa ng Pagtatapos w / paglilipat ng tungkulin"
"Quantity","dami"
"Product","produkto"
"Price","presyo"
"Back","likod"
"Delete Reservation","Burahin Reserbasyon"
"Are you sure you want to do this?","Sigurado ka bang gusto mong gawin ito?"
"Reset","I-reset"
"Save and Continue Edit","I-save at Magpatuloy Edit"
"Save Reservation","save Reserbasyon"
"Start Date: ","Petsa ng Pagsisimula:"
"End Date: ","Petsa ng Pagtatapos:"
"Disabled From","pinagana Mula"
"Disabled To","Upang Disabled"
"All Day","Buong araw"
"Repeat","ulitin"
"Exclude From","ibukod Mula"
"Add","idagdag"
"None","wala"
"Daily","Araw-araw"
"Weekly","lingguhan"
"Monthly","buwanan"
"Yearly","taun-taon"
"Calendar","Kalendaryo"
"Turnover","paglilipat ng tungkulin"
"From","Mula"
"To","upang"
"Product does not exists","Produkto ay hindi umiiral"
"Dates were set","Mga araw ay itinakda"
"Dates were not set","Ang mga araw ay hindi nakatakda"
"Rental","upa"
"Reports","Reports"
"Rental > Calendar","Rental&gt; Kalendaryo"
"All products must be simple product type","Lahat ng mga produkto ay dapat na simple ng Uri ng Produkto"
"Products have been converted from simple to reservation","Produkto ay nai-convert mula sa simpleng sa reservation"
"All products must be reservation product type","Lahat ng mga produkto ay dapat na reservation ng Uri ng Produkto"
"Products have been converted from reservation to simple","Produkto ay nai-convert mula sa reservation sa simpleng"
"The reservation has been deleted.","reservation The has been deleted."
"We can't find a reservation to delete.","Hindi namin mahanap ang isang reserbasyon tanggalin."
"Rental Reservations","rental Reservations"
"Edit Reservation","Edit Reserbasyon"
"New Reservation","New Reserbasyon"
"Reservation","reserbasyon"
"Edited","In-edit"
"Manual Edit Reservation","Manual Edit Reserbasyon"
"Please correct the data sent.","Pakiwasto ang mga data na ipinadala."
"Something went wrong while saving the page.","Nagkaproblema habang nagse-save ang pahina."
"Page Title","Pamagat ng pahina"
"Store View","Store View"
"Status","katayuan"
"To apply changes you should fill in hidden required "%1" field","Upang ilapat ang mga pagbabago na dapat mong punan ang mga nakatagong kinakailangan &quot;% 1&quot; field"
"You saved the page.","save mo ang pahina."
"Inventory","imbentaryo"
"Rental > Reports > Inventory","Rental&gt; Ulat&gt; Inventory"
"Start Date W/Turnover","Petsa ng Pagsisimula W / paglilipat ng tungkulin"
"End Date W/Turnover","Petsa ng Pagtatapos W / paglilipat ng tungkulin"
"Serial Number","serial Number"
"Rental > Reports > Serial Number","Rental&gt; Ulat&gt; Serial Number"
"Return Rentals","return Rentals"
"Some serials appeared to not match reservation. Please check again","Ang ilang mga serials lumitaw na hindi tumutugma reservation. Mangyaring suriin muli"
"A total of %1 item(s) have been returned.","Isang kabuuan ng% 1 (mga) item ay ibinalik."
"Send Rentals","Magpadala Rentals"
"A total of %1 item(s) have been sent.","Isang kabuuan ng% 1 (mga) item naipadala na."
"A total of %1 item(s) have not been sent.","Isang kabuuan ng% 1 (mga) item ay hindi pa naipapadala."
"Minute","minuto"
"Hour","Oras"
"Day","araw"
"Week","linggo"
"Month","buwan"
"Year","taon"
"We found a duplicate website, tier price, customer group and quantity.","Natagpuan namin ang isang duplicate website, tier presyo, customer group at dami."
"Group price must be a number greater than 0.","Group presyo ay dapat na isang numero na mas malaki kaysa sa 0."
"We found a duplicate serial number.","Natagpuan namin ang isang duplicate serial number."
"Per Product","bawat Produkto"
"For all","Para sa lahat"
"Monday","Lunes"
"Tuesday","Martes"
"Wednesday","Miyerkules"
"Thursday","Huwebes"
"Friday","Biyernes"
"Saturday","Sabado"
"Sunday","Linggo"
"Not Pro-Rated","Hindi Pro-Rated"
"Pro-Rated","Pro-Rated"
"Reservation (Calendar)","Reservation (Calendar)"
"Disabled","baldado"
"Available","magagamit"
"Out","Palabas"
"Maintenance","pagpapanatili"
"Broken","Broken"
"Use Times With Grid","Gamitin Times Sa Grid"
"Use Times No Grid. All Day is reserved","Gamitin Times No Grid. Lahat ng Araw ay nakalaan"
"Times Disabled","Times Disabled"
"+ price/period","+ Presyo / panahon"
"Extra period: price","Extra panahon: presyo"
"Hide additional price","Itago karagdagang presyo"
"Two inputs for start end dates","Dalawang input para sa mga petsa ng pagsisimula end"
"Always show","Laging ipakita"
"Regular Calendar On Product Page","Regular Calendar Sa Pahina ng Produkto"
"No Calendar On Product Page","No Calendar Sa Pahina ng Produkto"
"Fixed Rental Lengths - Choose Start Date(RTRW)","Fixed Rental haba - Piliin Petsa ng Pagsisimula (RTRW)"
"Fixed Rental Lengths - Start Date Is First Available Date","Fixed Rental haba - Petsa ng Pagsisimula ang Una Magagamit Date"
"Drop Down","Drop Down"
"Radio Buttons","Pindutan Radio"
