"Order Number","จำนวนการสั่งซื้อ"
"Customer","ลูกค้า"
"Start Date w/Turnover","วันที่เริ่มต้น w / มูลค่าการซื้อขาย"
"Start Date","วันที่เริ่มต้น"
"End Date","วันที่สิ้นสุด"
"End Date w/Turnover","วันที่สิ้นสุด w / มูลค่าการซื้อขาย"
"Quantity","ปริมาณ"
"Product","สินค้า"
"Price","ราคา"
"Back","กลับ"
"Delete Reservation","ลบการจองห้องพัก"
"Are you sure you want to do this?","คุณคุณแน่ใจว่าต้องการที่จะทำเช่นนี้?"
"Reset","รีเซ็ต"
"Save and Continue Edit","บันทึกและดำเนินการแก้ไข"
"Save Reservation","บันทึกการจองห้องพัก"
"Start Date: ","วันที่เริ่มต้น:"
"End Date: ","วันสิ้นสุด:"
"Disabled From","ปิดการใช้งานจาก"
"Disabled To","เพื่อผู้พิการ"
"All Day","ทั้งวัน"
"Repeat","ทำซ้ำ"
"Exclude From","แยกออกจาก"
"Add","เพิ่ม"
"None","ไม่มี"
"Daily","ประจำวัน"
"Weekly","รายสัปดาห์"
"Monthly","รายเดือน"
"Yearly","รายปี"
"Calendar","ปฏิทิน"
"Turnover","ผลประกอบการ"
"From","จาก"
"To","ไปยัง"
"Product does not exists","สินค้าไม่ได้มีอยู่"
"Dates were set","วันที่ถูกกำหนด"
"Dates were not set","วันที่ไม่ได้รับการตั้งค่า"
"Rental","ค่าเช่า"
"Reports","รายงาน"
"Rental > Calendar","เช่า&gt; ปฏิทิน"
"All products must be simple product type","ผลิตภัณฑ์ทั้งหมดจะต้องเป็นประเภทสินค้าที่เรียบง่าย"
"Products have been converted from simple to reservation","ผลิตภัณฑ์ที่ได้รับการดัดแปลงจากง่ายไปสำรองห้องพัก"
"All products must be reservation product type","ผลิตภัณฑ์ทั้งหมดจะต้องจองห้องพักประเภทผลิตภัณฑ์"
"Products have been converted from reservation to simple","ผลิตภัณฑ์ที่ได้รับการดัดแปลงมาจากการจองห้องพักจะง่าย"
"The reservation has been deleted.","จองห้องพักได้ถูกลบออก"
"We can't find a reservation to delete.","เราไม่สามารถหาสำรองห้องพักที่จะลบ"
"Rental Reservations","จองเช่า"
"Edit Reservation","แก้ไขการจองห้องพัก"
"New Reservation","การจองห้องพักใหม่"
"Reservation","การสำรองห้องพัก"
"Edited","แก้ไข"
"Manual Edit Reservation","คู่มือการแก้ไขการจองห้องพัก"
"Please correct the data sent.","โปรดแก้ไขข้อมูลที่ส่ง"
"Something went wrong while saving the page.","สิ่งที่ผิดพลาดในขณะที่ประหยัดหน้า"
"Page Title","ชื่อหน้า"
"Store View","ร้านดู"
"Status","สถานะ"
"To apply changes you should fill in hidden required "%1" field","เพื่อใช้การเปลี่ยนแปลงที่คุณควรจะต้องกรอกข้อมูลลงใน &quot;% 1&quot; ข้อมูลที่ซ่อนอยู่"
"You saved the page.","คุณบันทึกหน้า"
"Inventory","สินค้าคงคลัง"
"Rental > Reports > Inventory","เช่า&gt; รายงาน&gt; สินค้าคงคลัง"
"Start Date W/Turnover","วันที่เริ่มต้น W / มูลค่าการซื้อขาย"
"End Date W/Turnover","วันที่สิ้นสุด W / มูลค่าการซื้อขาย"
"Serial Number","หมายเลขลำดับ"
"Rental > Reports > Serial Number","เช่า&gt; รายงาน&gt; หมายเลขลำดับ"
"Return Rentals","ให้เช่าย้อนกลับ"
"Some serials appeared to not match reservation. Please check again","Serials บางคนดูเหมือนจะไม่ตรงกับการจองห้องพัก โปรดตรวจสอบอีกครั้ง"
"A total of %1 item(s) have been returned.","รวม% 1 รายการ (s) ได้รับกลับมา"
"Send Rentals","ส่งให้เช่า"
"A total of %1 item(s) have been sent.","รวม% 1 รายการ (s) ได้รับการส่ง"
"A total of %1 item(s) have not been sent.","รวม% 1 รายการ (s) ยังไม่ได้รับการส่ง"
"Minute","นาที"
"Hour","ชั่วโมง"
"Day","วัน"
"Week","สัปดาห์"
