"Order Number","订单号"
"Customer","顾客"
"Start Date w/Turnover","开始日期W /营业额"
"Start Date","开始日期"
"End Date","结束日期"
"End Date w/Turnover","结束日期W /营业额"
"Quantity","数量"
"Product","产品"
"Price","价钱"
"Back","背部"
"Delete Reservation","删除预约"
"Are you sure you want to do this?","你确定要这么做吗？"
"Reset","重启"
"Save and Continue Edit","保存并继续编辑"
"Save Reservation","保存预约"
"Start Date: ","开始日期："
"End Date: ","结束日期："
"Disabled From","禁用从"
"Disabled To","要禁用"
"All Day","整天"
"Repeat","重复"
"Exclude From","排除"
"Add","加"
"None","没有"
"Daily","日常"
"Weekly","每周"
"Monthly","每月一次"
"Yearly","每年"
"Calendar","日历"
"Turnover","周转"
"From","从"
"To","至"
"Product does not exists","产品不存在"
"Dates were set","日期分别设置"
"Dates were not set","日期未设置"
"Rental","租赁"
"Reports","报告"
"Rental > Calendar","租赁&gt;日历"
"All products must be simple product type","所有产品必须是简单的产品类型"
"Products have been converted from simple to reservation","产品已经从简单的转换预订"
"All products must be reservation product type","所有产品必须保留产品类型"
"Products have been converted from reservation to simple","产品已经从预订转化为简单"
"The reservation has been deleted.","预约已被删除。"
"We can't find a reservation to delete.","我们无法找到一个保留删除。"
"Rental Reservations","租赁预订"
"Edit Reservation","编辑预定"
"New Reservation","新预订"
"Reservation","保留"
"Edited","编辑"
"Manual Edit Reservation","手动编辑预定"
"Please correct the data sent.","请更正发送的数据。"
"Something went wrong while saving the page.","同时节省了页面出事了。"
"Page Title","页面标题"
"Store View","商店查看"
"Status","状态"
"To apply changes you should fill in hidden required "%1" field","要应用，你应该在隐蔽的需要“％1”栏填写变动"
"You saved the page.","您保存的页面。"
"Inventory","库存"
"Rental > Reports > Inventory","租赁&gt;报告&gt;库存"
"Start Date W/Turnover","开始日期W /营业额"
"End Date W/Turnover","结束日期W /营业额"
"Serial Number","序列号"
"Rental > Reports > Serial Number","租赁&gt;报告&gt;序列号"
"Return Rentals","返回酒店"
"Some serials appeared to not match reservation. Please check again","一些连续出现了不匹配的预订。请再次检查"
"A total of %1 item(s) have been returned.","共有％1个项目已经归还。"
"Send Rentals","发送出租"
